MR;Type;STC;FUTCs;LocalDistance
MR221;CONJUNCTIVE_CONTRACT;Test-08;5;10
MR379;CONJUNCTIVE_EXTEND;Test-13;2;5
MR401;CONJUNCTIVE_CONTRACT;Test-14;3;10
MR261;CONJUNCTIVE_EXTEND;Test-09;3;5
MR179;EQUIVALENCE_EXTEND;Test-06;1;2
MR368;CONJUNCTIVE_CONTRACT;Test-13;3;10
MR571;CONJUNCTIVE_CONTRACT;Test-20;4;12
MR312;CONJUNCTIVE_CONTRACT;Test-11;2;9
MR456;CONJUNCTIVE_CONTRACT;Test-16;2;9
MR553;CONJUNCTIVE_CONTRACT;Test-19;3;12
MR309;CONJUNCTIVE_CONTRACT;Test-11;2;9
MR148;EQUIVALENCE_EXTEND;Test-05;2;4
MR262;CONJUNCTIVE_EXTEND;Test-09;2;5
MR477;CONJUNCTIVE_EXTEND;Test-16;2;6
MR160;CONJUNCTIVE_CONTRACT;Test-06;2;10
MR91;CONJUNCTIVE_CONTRACT;Test-04;2;9
MR383;DISJOINT_EXTEND;Test-13;6;6
MR510;CONJUNCTIVE_EXTEND;Test-17;2;7
MR420;CONJUNCTIVE_CONTRACT;Test-15;4;10
MR370;CONJUNCTIVE_CONTRACT;Test-13;4;10
MR126;CONJUNCTIVE_CONTRACT;Test-05;5;8
MR402;CONJUNCTIVE_CONTRACT;Test-14;4;10
MR177;DISJOINT_EXTEND;Test-06;6;6
MR500;CONJUNCTIVE_EXTEND;Test-17;3;7
MR276;CONJUNCTIVE_CONTRACT;Test-10;4;9
MR569;CONJUNCTIVE_CONTRACT;Test-20;3;12
MR543;EQUIVALENCE_EXTEND;Test-18;1;2
MR325;CONJUNCTIVE_EXTEND;Test-11;4;6
MR568;CONJUNCTIVE_CONTRACT;Test-20;3;12
MR234;CONJUNCTIVE_EXTEND;Test-08;2;5
MR158;CONJUNCTIVE_CONTRACT;Test-06;3;10
MR247;CONJUNCTIVE_CONTRACT;Test-09;2;10
MR44;CONJUNCTIVE_CONTRACT;Test-02;1;12
MR257;CONJUNCTIVE_CONTRACT;Test-09;3;10
