MR;Type;STC;FUTCs;LocalDistance
MR101;CONJUNCTIVE_CONTRACT;Test-06;2;13
MR88;DISJOINT_EXTEND;Test-05;1;1
MR277;CONJUNCTIVE_CONTRACT;Test-15;1;1
MR621;DISJOINT_EXTEND;Test-35;1;1
MR349;DISJOINT_EXTEND;Test-19;1;1
MR1032;EQUIVALENCE_EXTEND;Test-61;1;1
MR921;CONJUNCTIVE_EXTEND;Test-55;1;2
MR303;CONJUNCTIVE_CONTRACT;Test-16;1;3
MR190;CONJUNCTIVE_EXTEND;Test-10;1;1
MR135;DISJOINT_EXTEND;Test-07;1;1
MR867;CONJUNCTIVE_CONTRACT;Test-52;2;10
MR164;EQUIVALENCE_EXTEND;Test-08;1;2
MR89;DISJOINT_EXTEND;Test-05;1;1
MR293;DISJOINT_EXTEND;Test-15;1;1
MR696;CONJUNCTIVE_CONTRACT;Test-41;2;12
MR503;CONJUNCTIVE_EXTEND;Test-28;1;1
MR667;CONJUNCTIVE_CONTRACT;Test-39;2;7
MR565;EQUIVALENCE_EXTEND;Test-31;1;1
MR204;EQUIVALENCE_EXTEND;Test-10;1;2
MR938;CONJUNCTIVE_EXTEND;Test-56;1;2
MR348;DISJOINT_EXTEND;Test-19;1;1
