MR;type;STC_id;STC_n_parameters;number_of_FUTCs;local_distance;source_parameters_list;added_parameters_futc_1;removed_parameters_futc_1;changed_parameters_futc_1;added_parameters_futc_2;removed_parameters_futc_2;changed_parameters_futc_2;added_parameters_futc_3;removed_parameters_futc_3;changed_parameters_futc_3;added_parameters_futc_4;removed_parameters_futc_4;changed_parameters_futc_4;added_parameters_futc_5;removed_parameters_futc_5;changed_parameters_futc_5;added_parameters_futc_6;removed_parameters_futc_6;changed_parameters_futc_6
MR364;CONJUNCTIVE_CONTRACT;Test-16;13;3;9;[searchQuery, location, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, amountPledged, goal, raised, category, subcategory];[];[goal, projectsIHaveBacked, raised, savedProjects];[];[];[amountPledged, filterProjects, searchQuery, subcategory];[];[];[location];[];[];[];[];[];[];[];[];[];[]
MR228;CONJUNCTIVE_EXTEND;Test-10;9;3;5;[location, sortBy, projectsWeLove, savedProjects, recommendedForMe, amountPledged, raised, category, subcategory];[filterProjects, following, searchQuery];[];[];[goal];[];[];[projectsIHaveBacked];[];[];[];[];[];[];[];[];[];[];[]
MR411;CONJUNCTIVE_CONTRACT;Test-18;8;2;4;[searchQuery, sortBy, projectsWeLove, savedProjects, recommendedForMe, filterProjects, goal, category];[];[filterProjects, savedProjects, searchQuery];[];[];[goal];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR330;CONJUNCTIVE_EXTEND;Test-14;10;2;2;[searchQuery, sortBy, projectsWeLove, savedProjects, projectsIHaveBacked, recommendedForMe, filterProjects, raised, category, subcategory];[following];[];[];[amountPledged];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR183;DISJOINT_EXTEND;Test-08;9;1;1;[searchQuery, sortBy, projectsWeLove, savedProjects, following, recommendedForMe, amountPledged:<$1,000 pledged, goal, category];[];[];[amountPledged:$1,000 to $10,000 pledged];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR134;CONJUNCTIVE_CONTRACT;Test-06;11;1;7;[searchQuery, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged, raised, category, subcategory];[];[amountPledged, following, projectsIHaveBacked, raised, savedProjects, searchQuery, subcategory];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR417;CONJUNCTIVE_CONTRACT;Test-18;8;2;4;[searchQuery, sortBy, projectsWeLove, savedProjects, recommendedForMe, filterProjects, goal, category];[];[goal, savedProjects, searchQuery];[];[];[filterProjects];[];[];[];[];[];[];[];[];[];[];[];[];[]
MR406;DISJOINT_EXTEND;Test-17;10;4;4;[location, sortBy, projectsWeLove, savedProjects, following, projectsIHaveBacked, recommendedForMe, amountPledged:<$1,000 pledged, raised, category];[];[];[amountPledged:$1,000 to $10,000 pledged];[];[];[amountPledged:$10,000 to $100,000 pledged];[];[];[amountPledged:$100,000 to $1,000,000 pledged];[];[];[amountPledged:>$1,000,000 pledged];[];[];[];[];[];[]
MR195;CONJUNCTIVE_CONTRACT;Test-09;11;4;7;[searchQuery, location, sortBy, projectsWeLove, following, projectsIHaveBacked, recommendedForMe, filterProjects, goal, category, subcategory];[];[goal];[];[];[following, projectsIHaveBacked, subcategory];[];[];[filterProjects];[];[];[location, searchQuery];[];[];[];[];[];[];[]
MR286;SHUFFLING_EXTEND;Test-12;10;2;2;[location, sortBy:Popularity, projectsWeLove, savedProjects, following, recommendedForMe, filterProjects, amountPledged, category, subcategory];[];[];[sortBy:Magic];[];[];[sortBy:Newest];[];[];[];[];[];[];[];[];[];[];[];[]
